[2026-05-13 05:17:18] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:17:47] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:17:49] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:17:56] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:18:08] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:18:14] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:18:15] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:18:57] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:19:02] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:19:04] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:19:05] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:19:11] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:19:13] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:22:23] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:22:25] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:22:33] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:22:56] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:24:57] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:25:14] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
